Protein families,count
Monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family,54
1-acyl-sn-glycerol-3-phosphate acyltransferase family,53
NLRP family,53
Glycosyltransferase 10 family,53
CD36 family,53
F-actin-capping protein alpha subunit family,53
Heat shock protein 90 family,53
Small Tim family,53
WD repeat G protein beta family,52
Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family,52
Thiolase-like superfamily,52
Two pore domain potassium channel (TC 1.A.1.8) family,52
Nucleosome assembly protein (NAP) family,52
X(+)/potassium ATPases subunit beta family,51
Membrane-bound acyltransferase family,51
Peroxiredoxin family,51
Group II decarboxylase family,51
G protein gamma family,50
TRAPP small subunits family,50
Osteocalcin/matrix Gla protein family,50
Histidine acid phosphatase family,50
RBR family,50
Eukaryotic ribosomal protein eS1 family,49
MHC class II family,49
XPG/RAD2 endonuclease family,49
Calcitonin family,49
ATPase alpha/beta chains family,49
BPI/LBP/Plunc superfamily,49
Class-V pyridoxal-phosphate-dependent aminotransferase family,49
Calcium channel alpha-1 subunit (TC 1.A.1.11) family,49
Type II (or gamma) interferon family,48
NDK family,48
ARTD/PARP family,48
GLI C2H2-type zinc-finger protein family,48
Long (3 C-C) scorpion toxin superfamily,47
PA-phosphatase related phosphoesterase family,47
Glycosyl hydrolase 56 family,47
Fibrillar collagen family,47
SMC family,47
Adaptor complexes medium subunit family,47
DMRT family,46
Allatostatin family,46
Sirtuin family,46
Cytochrome b5 family,45
Integrin beta chain family,45
Chloride channel (TC 2.A.49) family,45
Dwarfin/SMAD family,45
Sodium channel (TC 1.A.1.10) family,45
Anion exchanger (TC 2.A.31) family,45
Beta-catenin family,45
EIF-2B alpha/beta/delta subunits family,44
LDLR family,44
Peroxidase family,44
Aldolase class II family,43
Argonaute family,43
Glyceraldehyde-3-phosphate dehydrogenase family,43
True venom lectin family,42
Transferrin family,42
Sauvagine/corticotropin-releasing factor/urotensin I family,42
ST7 family,42
Villin/gelsolin family,42
SLC26A/SulP transporter (TC 2.A.53) family,41
EIF-3 subunit D family,41
Long chain scorpion toxin family,41
CD225/Dispanin family,41
Organo anion transporter (TC 2.A.60) family,41
ALB/AFP/VDB family,41
Purine/pyrimidine phosphoribosyltransferase family,40
Pannexin family,40
TCTP family,40
EIF-3 subunit G family,40
ELO family,40
Cullin family,40
Eukaryotic diacylglycerol kinase family,40
E2F/DP family,40
TFS-II family,39
Adenylosuccinate synthetase family,39
Formin homology family,39
P53 family,39
IAP family,39
TRAFAC class YlqF/YawG GTPase family,39
Class-I pyridine nucleotide-disulfide oxidoreductase family,39
